rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1965	66.1	58.5	56.3	63.5	137.4	217.2	108.8	179.4	95.5	9.1	50.9	44.3
1966	41.4	95.8	64.1	92.4	180	147	183	143.9	36.9	62.6	70.5	71.7
1967	52.6	49.1	63.8	88.8	98.1	144.4	99.9	122.3	63.5	77.8	37	66.5
1968	51.5	27.9	30.1	73.4	120.1	159.7	189.3	145.1	91.7	52.2	40.1	25.3
1969	30.1	48.5	34.2	32.2	80.8	156.9	110.2	176.5	14.3	43.9	52.6	49
1970	53.2	63.4	43.1	80.6	87.2	155.4	258.5	144.9	49.7	56.4	59.8	68.1
1971	13.3	43.1	52	52.3	78.9	148.7	129.8	92.7	68.8	33.7	48	67.1
1972	32.1	18.1	22.7	130.5	116.1	152.6	178.7	213.5	78.6	29.6	44.5	2.9
1973	37.5	66.4	26.2	64.6	61.3	201.7	139.2	49.1	66.7	28.7	40.4	35.1
1974	69	24.1	1.5	41.3	108.4	219.5	158.2	129.6	82.3	143.5	39.6	68.3
1975	23.8	23	63.2	81.1	96.7	186.8	159.8	99.7	53.6	86.8	18.9	44.3
1976	105.8	0	45.2	43.5	128.4	69.2	99.2	76.9	129.5	39.6	66.9	58.4
1977	57.8	81.9	76.3	81	48.9	116.8	132.3	124.5	86.8	12.8	65.4	36.5
1978	14.3	22.7	39.3	91.6	135.4	124.7	91.7	156.4	94	60.4	43.2	35.4
1979	87.5	20.5	55.1	77.6	74.6	139.6	97.1	107.9	67.3	62.8	75.2	54
1980	22.7	29.4	34.8	89.4	71	118.8	212.8	107.3	76.7	156.6	62.2	44.9
1981	35.7	25.5	59.1	29.2	97.4	128.6	122.3	143.5	89.9	77.2	78.6	76.5
1982	45	17.1	15.9	57.3	56.6	108.6	155.5	65.3	57.9	23.8	41.8	106.2
1983	58.8	46.3	76.6	39.5	62.8	142.2	132.5	79.3	83	58.2	22.2	16.2
1984	47.7	18.2	38.8	42.8	119.9	125	106.7	71.2	119.6	48.3	24.8	20.5
1985	25.4	48	44.5	77.2	107.9	180.7	133.9	241.6	26.9	60.1	56.4	61.6
1986	57.6	17.5	19.7	35.4	127.8	157.5	97	128.2	32.6	30.5	12.6	70.7
1987	64.8	15.9	61.1	58.1	163.1	112.4	78	90.9	108.2	41.3	64.4	74.4
1988	26.6	53.9	64	45	75.2	101	114.6	104.6	77.5	17.7	45.1	70
1989	17.2	34.3	47.6	110.1	143.6	236.8	122	114.9	66.2	55.5	52.8	19.2
1990	20.7	37.3	37.9	112.6	84.8	82	94.8	99.4	156.2	43.7	77.9	27.1
1991	9.4	39.5	20.3	67.3	105.1	118.4	129.2	118.2	59.9	81.6	70.7	43.6
1992	40	36.8	51	77.4	76.4	133.7	134.1	98.8	92.8	89.2	46.1	40.2
1993	41	29.3	46.2	41.4	75.3	109.5	121.7	86.2	54.6	45.2	32.7	37.6
1994	69.6	10.8	89.3	153.1	106.7	76.1	47.3	89.7	104.5	106.7	28.2	41.6
1995	34	49.8	64.3	79.5	98.4	176.2	74.1	157.5	114.6	10.6	31.5	47.7
1996	43.1	23.2	31.6	91.6	196	97.6	117.1	243.7	123.6	31.3	46.5	23.7
1997	32.3	49.1	25.7	34.1	72.2	137.6	273.8	81.6	62.8	61.6	73.3	36.1
1998	42.4	39.3	32.5	114.6	63.4	159.5	131.5	65.3	105.8	135.3	39.2	23.4
1999	41.6	66.5	35.2	83.8	52.1	244.7	189.3	71.8	41.3	89.1	39.3	42.8
2000	45	50.5	108.6	61.8	98.3	127.5	241.7	48.8	46	17.5	59.5	56.7
