rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1966	45.5	76.6	48.3	55.1	93	132.9	103.7	118.9	52.8	113.2	87.9	85.2
1967	69.8	43.3	79.3	69.8	86.3	102.2	47.4	78.6	42.8	63.5	27.9	79.2
1968	52.5	74.6	33	37.8	68.6	85.9	152.7	95.2	125.1	60.5	71.9	34.8
1969	14.2	54.3	32.6	50.1	61.6	101.9	75	110.6	5.1	28.5	53.9	36.8
1970	60.5	46.6	72.6	96.8	103	95.9	136.4	86.6	53.8	38.2	71.6	73.5
1971	46.2	32.9	30.3	62.5	56.3	120.2	48	47.6	59.1	25.2	52.6	40.8
1972	28.8	20.6	14.6	54.1	118.3	95.2	69	102.2	100.1	29.9	43.6	1.5
1973	5.8	49.3	4.6	39.1	54.6	127.9	123.4	40.9	41.1	50.2	35.9	28.2
1974	30.2	46.9	0	24.5	81.6	216.5	120.7	95.6	54.1	178.5	49.9	67.5
1975	17.8	7.6	44	102.5	110	143.2	181.4	105.9	59.8	100.9	15.9	52.2
1976	73.5	0.9	53	43.8	133	50.9	113	42.2	153.1	50.9	49.3	71.5
1977	60.2	93.6	66.3	74.8	39.3	80.5	134.4	99.6	75.4	9.2	70.3	31.2
1978	39.8	30.9	21	76.8	141	97.5	95.7	118.2	56.1	38.2	21.9	79.8
1979	97.2	29.3	71	83.8	40.6	72.9	85.7	153.9	23.1	34.9	84.3	54.2
1980	21.2	30.3	79.3	74.1	62.3	230.2	193.7	153.2	55.1	125.2	97.3	38.8
1981	39.2	19.9	57.6	17.5	76	89.5	143.4	97.2	49.1	55.5	36.6	100.8
1982	43.2	17.9	14	47.1	38.3	102.9	89.7	57.9	97.1	65.5	32.6	82.8
1983	59.8	40.3	75.6	63.8	101.6	93.2	95	64.6	65.8	41.5	43.9	19.2
1984	35.5	33.6	31.6	20.5	131.6	119.5	100.7	54.6	109.4	53.5	42.3	33.5
1985	39.2	46.6	55.6	86.8	106.3	122.2	77	133.9	53.4	33.9	82.9	80.5
1986	70.5	25.3	19.6	54.1	74	77.5	94	90.6	12.8	35.5	19.3	59.2
1987	51.5	15.6	77.3	40.1	116.6	87.5	49.7	83.9	68.1	37.5	50.6	74.2
